County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ALAMANCE,27,27,27,26,24,23,21,21,20,19,20
ALEXANDER,29,29,29,28,25,24,22,20,22,20,18
ALLEGHANY,33,33,32,29,28,25,24,25,29,27,25
ANSON,27,28,28,27,26,25,23,23,25,26,30
ASHE,30,29,30,30,28,26,23,22,22,19,16
AVERY,29,30,29,27,25,22,21,19,20,20,17
BEAUFORT,26,27,28,27,24,23,21,21,23,24,22
BERTIE,26,26,27,27,28,25,25,24,28,31,32
BLADEN,29,29,29,30,30,28,28,24,28,26,27
BRUNSWICK,26,27,28,27,27,26,24,22,22,19,19
BUNCOMBE,25,25,26,25,23,22,20,18,17,16,17
BURKE,29,29,29,29,28,26,24,23,23,22,21
CABARRUS,24,23,23,22,20,19,18,18,15,14,15
CALDWELL,31,29,29,29,28,25,22,20,21,19,19
CAMDEN,20,19,20,21,20,21,20,19,19,16,13
CARTERET,25,26,26,26,25,24,21,20,20,18,14
CASWELL,29,28,28,28,27,25,24,23,25,24,23
CATAWBA,28,27,27,26,24,23,21,20,18,17,18
CHATHAM,23,22,22,21,21,20,19,19,17,15,14
CHEROKEE,28,28,28,29,27,26,24,22,23,22,20
CHOWAN,25,29,28,32,31,28,26,26,24,23,26
CLAY,30,31,32,32,30,27,23,23,24,21,16
CLEVELAND,30,28,28,28,27,25,24,22,23,23,23
COLUMBUS,29,30,30,29,28,26,25,24,27,26,26
CRAVEN,26,27,27,27,25,24,22,21,22,21,21
CUMBERLAND,23,24,25,25,24,23,22,22,23,24,27
CURRITUCK,20,19,22,22,22,21,19,17,16,15,12
DARE,25,27,26,25,24,21,19,19,17,16,16
DAVIDSON,28,27,27,27,24,23,21,20,20,19,19
DAVIE,27,25,25,24,23,21,21,20,19,18,16
DUPLIN,28,28,29,29,26,25,25,24,25,24,22
DURHAM,20,22,22,22,20,20,20,19,17,18,19
EDGECOMBE,28,28,29,31,30,29,28,26,28,30,34
FORSYTH,24,25,25,25,23,23,22,21,19,19,20
FRANKLIN,24,24,23,23,22,21,20,20,20,19,18
GASTON,28,27,27,27,25,24,22,21,20,19,20
GATES,24,23,24,27,25,23,21,20,22,23,19
GRAHAM,33,30,30,32,32,30,25,25,26,22,20
GRANVILLE,22,21,23,24,21,20,20,18,19,19,18
GREENE,27,27,27,27,26,24,23,24,27,25,25
GUILFORD,23,23,23,24,23,22,21,20,19,19,22
HALIFAX,26,28,28,30,28,27,27,26,28,30,33
HARNETT,26,26,25,25,24,23,21,21,20,19,20
HAYWOOD,26,28,28,28,26,25,23,22,21,19,18
HENDERSON,26,24,25,24,22,21,19,18,16,16,16
HERTFORD,24,24,24,27,27,26,25,25,28,28,32
HOKE,24,24,25,25,25,25,23,22,23,23,23
HYDE,22,25,28,28,27,23,25,24,27,29,24
IREDELL,26,24,24,24,22,21,19,19,17,16,15
JACKSON,26,26,27,28,27,26,25,23,21,20,18
JOHNSTON,25,25,25,24,22,21,19,19,18,17,16
JONES,24,23,25,26,26,27,27,27,31,28,24
LEE,28,28,28,27,25,23,21,21,19,20,23
LENOIR,26,28,27,28,27,25,25,23,28,29,28
LINCOLN,29,28,27,26,24,23,20,20,19,16,14
MCDOWELL,32,32,31,31,28,26,24,22,22,20,20
MACON,30,31,31,30,28,26,24,23,23,20,18
MADISON,26,27,27,26,26,25,22,22,22,17,15
MARTIN,27,26,29,28,27,25,24,22,24,26,28
MECKLENBURG,22,22,22,22,21,20,18,18,15,15,18
MITCHELL,28,30,30,30,28,27,24,22,21,19,16
MONTGOMERY,31,33,31,29,27,25,23,22,21,20,21
MOORE,25,24,25,26,24,23,21,19,19,17,15
NASH,24,25,25,25,24,23,22,21,21,21,25
NEW HANOVER,24,24,25,25,24,22,20,20,19,17,16
NORTHAMPTON,24,25,29,30,29,30,30,26,28,30,30
ONSLOW,24,25,24,25,23,22,20,20,21,20,19
ORANGE,21,21,22,21,19,18,16,16,12,11,9
PAMLICO,24,25,26,27,25,24,23,23,23,20,19
PASQUOTANK,24,25,24,26,26,25,23,23,21,22,21
PENDER,25,27,27,27,24,23,21,19,19,18,17
PERQUIMANS,25,26,25,28,27,26,24,24,22,21,18
PERSON,25,25,23,24,25,24,22,22,25,25,24
PITT,24,24,24,24,23,23,22,22,21,22,23
POLK,26,24,27,27,24,23,22,19,18,18,16
RANDOLPH,29,29,28,27,25,24,22,21,20,19,18
RICHMOND,29,30,29,30,28,28,27,26,28,29,30
ROBESON,34,35,34,34,32,30,29,27,28,27,28
ROCKINGHAM,28,27,27,27,26,24,23,22,22,21,23
ROWAN,28,27,27,27,26,24,23,21,21,21,22
RUTHERFORD,34,32,31,31,29,27,24,24,24,23,23
SAMPSON,26,27,26,26,25,24,23,23,24,22,23
SCOTLAND,34,34,34,35,33,32,31,28,31,31,35
STANLY,26,25,25,26,24,24,22,21,20,19,17
STOKES,26,25,27,26,25,24,21,20,20,18,17
SURRY,29,29,28,28,25,24,21,21,21,20,18
SWAIN,33,33,33,36,34,32,28,25,23,22,20
TRANSYLVANIA,27,27,29,28,26,24,23,23,23,21,18
TYRRELL,30,30,30,30,30,27,28,29,31,32,30
UNION,22,20,21,20,19,18,17,17,13,12,10
VANCE,30,31,31,30,28,26,26,24,27,27,31
WAKE,20,19,20,20,18,18,17,16,13,12,12
WARREN,27,28,25,27,26,26,25,24,25,26,33
WASHINGTON,26,28,29,27,28,25,27,28,33,32,37
WATAUGA,24,26,26,27,25,23,22,20,18,16,14
WAYNE,24,26,26,27,26,25,24,24,24,24,24
WILKES,32,32,31,31,28,26,23,23,24,22,19
WILSON,27,28,28,29,29,28,27,25,26,26,27
YADKIN,27,28,28,27,26,25,22,21,20,20,17
YANCEY,30,31,32,32,29,27,23,22,22,20,17
